currentValue,variantionValue,variantionPercent,variationDailyInit,variationDailyInitNow,DateTime,timeRequest
"3.211,43","3.273,57","3.205,78","-51,13","-1,57",05/01/2025 18:22:56,0.8127338886260986
"3.211,43","3.273,57","3.205,78","-51,13","-1,57",05/01/2025 18:23:57,1.1478569507598877
