currentValue,variantionValue,variantionPercent,variationDailyInit,variationDailyInitNow,DateTime,timeRequest
30,"1.320,58","1.341,30","1.320,58","-22,62",05/01/2025 18:22:56,0.8127338886260986
30,"1.320,58","1.341,30","1.320,58","-22,62",05/01/2025 18:23:57,1.1478569507598877
