currentValue,variantionValue,variantionPercent,variationDailyInit,variationDailyInitNow,DateTime,timeRequest
"11.624,02","11.663,64","11.570,13","23,12","0,20",05/01/2025 18:22:56,0.8127338886260986
"11.624,02","11.663,64","11.570,13","23,12","0,20",05/01/2025 18:23:57,1.1478569507598877
