currentValue,variantionValue,variantionPercent,variationDailyInit,variationDailyInitNow,DateTime,timeRequest
"22.908,30","23.092,07","22.905,40","76,24","0,33",05/01/2025 18:22:56,0.8127338886260986
"22.908,30","23.092,07","22.905,40","76,24","0,33",05/01/2025 18:23:57,1.1478569507598877
