currentValue,variantionValue,variantionPercent,variationDailyInit,variationDailyInitNow,DateTime,timeRequest
"7.164,43","7.197,01","7.135,28","1,22","0,02",05/01/2025 18:22:56,0.8127338886260986
"7.164,43","7.197,01","7.135,28","1,22","0,02",05/01/2025 18:23:57,1.1478569507598877
