currentValue,variantionValue,variantionPercent,variationDailyInit,variationDailyInitNow,DateTime,timeRequest
"6.444,69","6.460,69","6.413,67","32,41","0,51",05/01/2025 18:22:56,0.8127338886260986
"6.444,69","6.460,69","6.413,67","32,41","0,51",05/01/2025 18:23:57,1.1478569507598877
