currentValue,variantionValue,variantionPercent,variationDailyInit,variationDailyInitNow,DateTime,timeRequest
"9.897,12","10.139,99","9.891,84","-190,94","-1,89",05/01/2025 18:22:56,0.8127338886260986
"9.897,12","10.139,99","9.891,84","-190,94","-1,89",05/01/2025 18:23:57,1.1478569507598877
