currentValue,variantionValue,variantionPercent,variationDailyInit,variationDailyInitNow,DateTime,timeRequest
225,"39.894,54","40.325,78","39.864,46","-386,62",05/01/2025 18:22:56,0.8127338886260986
225,"39.894,54","40.325,78","39.864,46","-386,62",05/01/2025 18:23:57,1.1478569507598877
