currentValue,variantionValue,variantionPercent,variationDailyInit,variationDailyInitNow,DateTime,timeRequest
20,"4.259,13","4.288,77","4.256,67","-30,39",05/01/2025 18:22:56,0.8127338886260986
20,"4.259,13","4.288,77","4.256,67","-30,39",05/01/2025 18:23:57,1.1478569507598877
