currentValue,variantionValue,variantionPercent,variationDailyInit,variationDailyInitNow,DateTime,timeRequest
"48.957,24","49.847,31","48.878,40","-807,96","-1,62",05/01/2025 18:22:56,0.8127338886260986
"48.957,24","49.847,31","48.878,40","-807,96","-1,62",05/01/2025 18:23:57,1.1478569507598877
