currentValue,variantionValue,variantionPercent,variationDailyInit,variationDailyInitNow,DateTime,timeRequest
"34.127,62","34.377,11","34.052,29","-247,15","-0,72",05/01/2025 18:22:56,0.8127338886260986
"34.127,62","34.377,11","34.052,29","-247,15","-0,72",05/01/2025 18:23:57,1.1478569507598877
